Governorate,Literature_2022,Math_2022,Science_2022,total_mean_2022,Literature_2023,Math_2023,Science_2023,total_mean_2023
Aswan,55.1197607421875,57.94933810375671,58.79835827768823,57.28915237454415,62.303104643104646,58.881589041095886,60.44260524091293,60.54243297503783
Asyut,54.7407932196023,57.70372105263159,59.630377256804096,57.35829717634599,63.25089743589744,58.3856,62.820906735751294,61.485801390549575
Ismailia,62.24565580859037,72.46767295597485,67.65061799038682,67.45464891831735,64.12051638269986,70.8383973187081,67.70836989952839,67.55576120031212
Alexandria,60.984520715262846,65.36845027067191,63.94966820542412,63.434213063786295,65.2165858136838,67.05596487252124,63.58934304484433,65.28729791034979
Luxor,55.38567655236329,57.95604534005037,58.980665853658536,57.4407959153574,61.30483034872762,60.923508064516135,59.45922636103152,60.56252159142509
Red Sea,60.32240974729242,64.24200483091788,63.98119161105816,62.84853539642282,64.63872406639004,63.91803278688525,62.55725700164744,63.704671284974246
Beheira,59.67078845942078,67.78455130957492,65.78121966941389,64.41218647946987,63.12710381702064,68.08308111050626,64.60754391217564,65.27257627990083
Giza,55.68214342001576,60.6586690647482,58.29428315412186,58.21169854629528,60.329053210801,63.18330925257016,59.09665940892062,60.86967395743059
Dakahlia,65.50148072161302,75.77838349905939,75.97362290076336,72.4178290404786,69.7898566272308,76.00622950819672,74.78154337255485,73.52587650266078
Suez,62.00332472562943,63.95541448058762,63.48769607843137,63.148811761549474,67.80234375,64.73652880354504,64.02403479701739,65.52096911685415
Sharqia,62.11068325526932,72.432189888301,71.78725948774013,68.77671087710348,65.9062460815047,71.56194503492256,70.66428689675028,69.37749267105919
Gharbia,63.2371889596603,73.09621994481671,71.94812176445211,69.42717688964304,69.68172588832488,75.1551425091352,71.32577940227908,72.05421593324638
Fayoum,54.72525485670321,60.07159247648903,60.46989240637285,58.42224657985503,58.758144771120215,59.56499386503068,59.72689239755408,59.350010344568325
Cairo,58.02143496236616,63.62375772558715,63.48728618565129,61.710826291201535,63.92590874039407,65.28479374779646,62.03490582715713,63.74853610511588
Qalyubia,58.09112422916776,63.934828814023554,64.3506938453126,62.12554896283464,64.5610596157655,67.36996906235126,65.28296556303955,65.73799808038545
Menoufia,59.69856056914532,69.42535661764705,68.60707130358706,65.91032949679315,66.85286752185266,70.4466514979143,69.04951128921904,68.78301010299533
Minya,51.4120330450497,56.242227254014,58.473629119527786,55.37596313953049,60.82101528845342,58.459290748898674,59.39361036594625,59.55797213443278
New Valley,61.81341394025605,68.32600000000001,68.267261663286,66.13555853451402,63.13546206896552,67.81612403100776,68.70936890045543,66.55365166680957
Beni Suef,57.075781603199445,62.92013540422142,63.13500261533633,61.0436398742524,60.60765023515067,64.66188079470199,62.27922586174063,62.51625229719776
Port Said,68.35205240174673,75.77376283846871,73.39200883002208,72.50594135674584,74.7382932330827,77.30965473948525,72.9996423192771,75.01586343061501
South Sinai,64.7463344051447,70.84425925925926,71.1586009174312,68.91639819394506,70.46859296482413,71.27344086021506,72.736125,71.4927196083464
Damietta,66.37327602905569,74.1791022778026,73.08025611838362,71.2108781417473,70.70098591549295,71.6470036477332,70.9902798206278,71.11275646128466
Sohag,57.746712222394784,65.37883825417201,66.31935041945663,63.148300298674464,66.87215596330275,62.4414705882353,58.96569565217391,62.75977406790398
North Sinai,65.0730897703549,79.22158536585366,75.94947101142616,73.4147153825449,73.22828467153285,84.16445595854923,78.84164669329783,78.74479577445997
Qena,57.31998385360603,63.17452054794521,62.97735078304676,61.15728506153266,63.9113768115942,69.13411917098446,67.1337375886525,66.72641119041037
Kafr ElSheikh,61.54582900657667,70.01840190816935,70.44059487624837,67.33494193033147,64.87754862385322,70.37315720808871,68.81332767676768,68.0213445029032
Matruh,60.8234135667396,66.7926,67.36307624113475,64.99302993595812,60.643922518159805,67.91136363636363,62.69421734795613,63.74983450082652
