Governorate,Agriculture,Crude Petroleum Extraction,Other extractions,Petroleum Refinement,Manufacturing Industries,Electricity and Gas,Water,Sewerage,Waste Recycling,Construction,Whole sale and Retail Trade,Communication,Information,Transportation and Storage,Accommodation and Food Service Activities,Real Estate Ownership,Business Services,Education,Health,Other Services,Non Financial Corporations,Financial Corporations,General Government,Non Profit Institutions Serving House hold Sector,DomesticWorkers,Total Governorate GDP
Cairo,16623227700,3931560,49964456700,24863421470,1.89671E+11,37047574420,1441434640,1056400690,6308377920,78441435320,3.57398E+11,63917729720,14617532160,1.72269E+11,21781701460,1.3524E+11,1.34407E+11,46530857970,76384494690,21846958170,1.44981E+12,1.46094E+11,2.65926E+11,13554384960,1259867270,1.87665E+12
Giza,30705607970,0,332398560,2738391610,1.79313E+11,6636706510,1471750460,526592010,3401383630,60316150400,1.04883E+11,38130326110,12494852740,24998302400,16136780880,90752173060,45495149160,20042479230,23138969700,13388270020,6.74902E+11,68238746560,23423510100,2950533630,556352620,7.70071E+11
Qalyubia,36618842500,0,641992210,26904900510,1.08111E+11,1619261890,1153068570,6383230,2214098550,18818914870,52737633680,1803961990,327301660,17499716900,8890516030,19080033960,4322538470,12699727240,9087049640,6030624650,3.28567E+11,1913018950,8282207560,294824190,258433160,3.39316E+11
Asyut,21695314580,0,22123880,12079907520,12442416820,505732360,234443920,44727540,241025920,27144397230,17999222660,385692320,51545070,3223756920,1063721450,6933273020,3740214220,2722359600,2862238580,1323860660,1.14716E+11,2869706220,8452503380,61561120,43072690,1.26143E+11
New Valley,8431484480,348881110,13366940,0,575911970,12229020,9626230,17216150,188990,935399340,1030718600,21096180,2738170,190534570,152044850,1350563360,875442230,151980920,147385340,82574350,14349382800,727625750,1880045170,6249840,0,16963303560
Suez,3953345300,0,231388080,21590013470,39807222250,15176210550,291078640,4344770,68152410,7358773170,6742579970,90079280,24760710,6403663170,1635849030,7615102420,586333130,1910343790,908505380,740331870,1.15138E+11,1235499710,2726630180,21160080,7178780,1.19129E+11
Ismailia,20309670770,0,745093230,6791610,16510386140,11034664720,104011740,2158100,286889020,12941035330,9072615720,142075210,5583400,2613864350,1440437650,3147184710,4315986680,1547005320,898760710,924949850,86049164270,2124031890,2632014410,201980290,120060490,91127251340
Sharqia,76653704080,0,242405590,0,91978114440,267416910,338668860,43530500,201867090,24578847330,37813236050,4709973630,217855590,8099525840,2844366980,15458232790,3782550800,8577649290,2322852330,4740873780,2.82872E+11,4877667880,13744039070,455441730,116153770,3.02065E+11
Port Said,19584668270,95561757720,60693580,0,16468443140,1742507400,434190370,-1128060,65670030,16879151460,7189122230,3027692220,46427960,10578499230,1271378530,8501452200,772801010,991887170,745882400,726145320,1.84647E+11,2695745480,2530605990,162239410,118449900,1.90154E+11
North Sinai,2515904650,37134051350,360432470,0,1224536960,158811250,83649920,-3321260,0,839372780,1392348940,0,0,690000260,45081640,1079608270,8074370,239456020,136995440,21842700,45926845770,211370820,2778374780,13810680,1787210,48932189270
South Sinai,880515770,23629974370,414314000,0,317289300,95724850,583582770,-1014890,3842870,2365900100,3360865980,76074580,16177650,614451670,20009338960,1102246510,1110316920,329940230,415412060,495409330,55820363040,1415211100,986060960,155055860,8980960,58385671920
Beheira,1.34975E+11,961628300,2023911980,0,17840948090,7568443200,1718019660,75524350,168658870,20109119460,36291794710,8000767040,8896300,9478973090,2850976900,18785020360,3655203350,4580498540,5193311990,3639122620,2.77926E+11,1833362090,8875411920,99996400,122039300,2.88857E+11
Alexandria,15847909020,1789493170,10918243280,1.40236E+11,76703572980,12060740510,1510806820,492630830,798766950,25221075840,70300319810,17501616010,715675740,41610100090,9732021000,45997204730,10408503060,16213641590,24136331420,10364291110,5.32559E+11,15195271310,10325479370,7149707420,646084400,5.65876E+11
Matruh,6941249170,73194170210,10169902120,0,821576820,24829540,131025760,23796270,0,6929251020,5648917210,25029660,1362850,2308002170,455314880,5950713550,113266350,346111190,269716710,142006940,1.13496E+11,482475460,1547698220,3609360,21536350,1.15552E+11
Fayoum,28614341020,19310332500,46241490,2079140,6884422940,476060800,621523430,32968880,132790060,23984090770,18332893060,888620680,753660,2352640220,3227975850,12858340860,2154330930,2241819530,2887359270,2419758200,1.27469E+11,1156908440,4658365730,90609610,128824550,1.33504E+11
Beni Suef,17406402920,0,181259730,0,9538433490,2048170920,338294370,30422520,124069620,15530391450,10811025350,3724861870,57657010,5853629880,1682760390,6975864580,1129077690,2811229960,1687707850,869705580,80800965180,1418129920,4905914770,36269370,32304520,87193583760
Minya,30543884520,0,6721768810,0,6860813890,3626828380,268216100,10929070,12969010,24773903350,21720666100,400399470,962990,4871374190,1448797210,10566001800,1205619100,2320280950,3017137130,1752053590,1.20123E+11,1978949770,8619569310,194044320,61019650,1.30976E+11
Aswan,14465013400,793039380,8224436880,0,5793301980,3150392980,484678920,2901450,74409640,8587332570,9988963520,559999860,5779700,2514942890,1441507570,9428675460,1827292790,509100560,2519448170,623113310,70994331030,1249135950,3954324350,31486860,35893910,76265172100
Luxor,16273431910,0,115981420,0,2317273430,349774370,67924710,2792520,21740170,8870045820,5752714260,103407900,7350920,1193274610,1084460120,2701536790,1928525880,793174640,1098274820,591828380,43273512690,998433420,2340952020,9270660,11450730,46633619510
Sohag,21657397830,0,210703990,0,5748010890,922616650,265618580,25715020,226752520,24788020300,19779450850,601153140,1481460,7015218760,2045202670,8110256430,1736393140,1237699160,2056812790,1673125250,98101629430,2199731790,7391545300,49434420,14369540,1.07757E+11
Qena,17138151110,0,240915950,0,15529487950,863468980,453542980,28849410,49777130,13500132190,11984152170,187794090,11715510,1830427100,375541110,7410684170,974652480,870935730,1479960820,1008308320,73938497210,804584580,5509362340,121037290,21524370,80395005800
Red Sea,5157190000,27798964160,13064540,833287230,472884920,1115382550,716329190,-13719130,507248390,3097205840,4939387160,2384110170,2218910,708305490,9180337640,10131658320,3341300310,483031050,595647860,815748840,72279583440,2153679600,1353478420,38722280,46662080,75872125820
Gharbia,29901547330,0,531090600,1400189020,27212370730,3435528730,511570350,85068560,663813350,18288992750,28187040850,3951475520,131717170,4758176260,2717580340,17707307370,3057567280,7252835640,4991099100,3421994270,1.58207E+11,3816727570,11329015100,258875030,151147950,1.73763E+11
Menoufia,27839582310,0,206430860,29871720,40318658050,587645510,420230080,98698650,393857100,11209034760,26797035820,4397413750,706570,4321540560,2225710840,12914412550,2641754890,5064121100,3781622560,2340280970,1.45589E+11,1967101220,9599466240,50901750,61019650,1.57267E+11
Kafr ElSheikh,75008203280,1326764210,231496090,15596290,8447917890,379174910,743527480,-997800,69064730,14273478830,16875238970,189047120,6794010,4013493080,1337049280,11343422620,1193843420,2992848030,2535647630,1949588090,1.42931E+11,1393531580,6606871410,39168850,82555990,1.51053E+11
Dakahlia,54963664660,38755931950,253013790,87829480,21427408850,4721583230,370222220,203501890,457671380,32811177650,48995696230,9562241490,14656720,15125220300,4392690960,19902883470,4838239360,8917803120,4301326930,5387731170,2.7549E+11,4666148990,13426486260,130962910,301505850,2.94016E+11
Damietta,27785166930,0,3991487980,4546750,21191763810,5317965020,146998030,24948900,39547680,5786259520,18977053330,155806990,133475090,4872918700,1593155770,8794413590,1551657940,1419604550,1662082740,1283875140,1.04733E+11,1900034930,3611064230,57118570,39483300,1.1034E+11
