Governorate,Total_Avg_Work_Hours,Total_Avg_Salary,Total_Count,Female_Avg_Work_Hours,Female_Avg_Salary,Female_Count,Male_Avg_Work_Hours,Male_Avg_Salary,Male_Count
Cairo,212,5820,2665376,202,4622,483931,214,6086,2181445
Alexandria,222,3655,1159788,209,2933,209217,225,3814,950571
Port Said,219,6061,102041,223,2433,18571,217,6868,83470
Suez,193,2634,197896,177,2418,26659,196,2667,171237
Damietta,233,4201,226827,243,2080,13895,233,4340,212932
Dakahlia,211,2519,620865,209,2547,76778,212,2515,544087
Sharqia,229,2854,756946,230,2343,58470,229,2897,698476
Qalyubia,228,3654,891240,225,2459,176930,229,3950,714310
Kafr ElSheikh,231,2101,166014,165,1090,17423,239,2220,148591
Gharbia,211,2345,640977,201,1597,139127,214,2553,501850
Menoufia,242,2610,410630,225,1478,83773,246,2900,326857
Beheira,235,2871,718872,216,1738,83792,238,3021,635080
Ismailia,218,4308,206323,221,4879,26255,218,4225,180068
Giza,226,4769,1633360,226,3616,282801,226,5010,1350560
Beni Suef,229,2733,118022,205,3216,28740,237,2577,89282
Fayoum,225,2081,229975,232,1835,24945,224,2110,205030
Minya,232,1642,640314,179,1345,131755,246,1719,508559
Asyut,238,1831,391808,161,1266,29742,245,1877,362066
Sohag,202,2690,279759,219,2336,28511,200,2731,251249
Qena,196,2303,374502,196,2170,295683,195,2804,78820
Aswan,198,3774,220576,192,2013,41104,200,4177,179472
Luxor,212,1858,222835,255,1198,37971,203,1993,184864
Red Sea,230,2663,185310,235,2593,10473,230,2667,174838
New Valley,149,1552,22063,178,915,2358,146,1628,19706
Matruh,181,2072,10597,187,1128,1564,180,2235,9033
North Sinai,176,1720,9491,193,1375,5416,152,2178,4075
South Sinai,222,4373,28492,240,4087,167,222,4375,28325
