Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
,,,???????,,,,
,,,Governmental,,,,
,,,???? ????????,,,???? ??????????,
???????,???????,?????????,?????,???????,???????,???????,???????????
18.5,1 633 984,932 556,701 428,88 290,38 623,49 667,??????????
19.8,188 305,101 879,86 426,9 500,4 784,4 716,?????????
21.3,103 426,58 029,45 397,4 864,2 675,2 189,????????????
10.7,12 791,7 019,5 772,1 193,718,475,???? ??????
12.1,8 778,5 552,3 226,728,431,297,?????????
13.5,33 864,19 936,13 928,2 503,1 532,0 971,?????????
23.7,136 148,77 823,58 325,5 755,2 521,3 234,???????????
16.6,134 354,77 013,57 341,8 090,3 839,4 251,?????????
16.7,101 655,58 313,43 342,6 091,3 235,2 856,????????????
16.9,64 190,36 981,27 209,3 793,1 542,2 251,???? ??????
17.6,93 463,54 872,38 591,5 320,2 326,2 994,???????????
18.9,92 538,52 946,39 592,4 903,2284,2619,????????????
21.7,80 665,48 512,32 153,3 723,1462,2261,???????????
17.0,23 504,13 506,9 998,1 385,698,687,?????????????
30.0,174 096,97 927,76 169,5 807,2 261,3 546,??????????
16.4,41 497,23 559,17 938,2 528,861,1 667,???? ?????
20.4,37 795,23 219,14 576,1 852,672,1 180,??????????
16.9,80 589,46 535,34 054,4 781,1 516,3 265,???????????
16.4,59 829,35 648,24 181,3 638,1368,2 270,????????
19.5,62 511,33 544,28 967,3 209,905,2 304,????????
13.9,40 087,22 777,17 310,2 889,786,2 103,????????
16.9,16 356,9 650,6 706,969,256,713,?????????
11.3,17 348,10 575,6 773,1 535,594,0 941,????????
12.1,7 210,4 204,3 006,594,316,278,?????? ???????
5.2,5 302,3 205,2 097,1 027,398,629,??????? ???????
15.8,5 311,2 706,2 605,337,107,230,??????????
10.1,9 722,5 219,4 503,959,409,550,????? ???????
8.4,2 650,1407,1243,317,127,190,????? ??????
